date,key,Confirmed,Deaths,Recovered,Active,Latitude,Longitude,share_of_last_week,percentage
2020-04-22,Florida,28309,893,0,27416,27.7663,-81.6868,,0.0
2020-04-13,New York,195749,10058,23887,161804,42.1657,-74.9481,,0.0
2020-04-22,Georgia,21214,848,0,20366,33.0406,-83.6431,,0.0
2020-04-22,Grand Princess,103,0,0,103,,,,0.0
2020-04-22,Guam,136,5,119,12,13.4443,144.7937,,0.0
2020-04-12,North Dakota,308,7,121,180,47.5289,-99.784,,0.0
2020-04-22,Hawaii,592,12,437,143,21.0943,-157.4983,,0.0
2020-04-13,North Dakota,331,8,127,196,47.5289,-99.78399999999999,,0.0
2020-04-22,Idaho,1766,51,710,1005,44.2405,-114.4788,,0.0
2020-04-22,Illinois,35107,1565,0,33542,40.3495,-88.9861,,0.0
2020-04-22,Indiana,12438,666,0,11772,39.8494,-86.2583,,0.0
2020-04-12,Oklahoma,1970,96,865,1009,35.5653,-96.9289,,0.0
2020-04-22,Iowa,3748,90,1428,2230,42.0115,-93.2105,,0.0
2020-04-13,Oklahoma,2069,99,865,1105,35.5653,-96.9289,,0.0
2020-04-22,Kansas,2331,112,0,2219,38.5266,-96.7265,,0.0
2020-04-22,Kentucky,3378,185,1266,1927,37.6681,-84.6701,,0.0
2020-04-22,Louisiana,25258,1473,0,23785,31.1695,-91.8678,,0.0
2020-04-22,Maine,907,39,455,413,44.6939,-69.3819,,0.0
2020-04-22,Maryland,14775,698,981,13096,39.0639,-76.8021,,0.0
2020-04-22,Massachusetts,42944,2182,0,40762,42.2302,-71.5301,,0.0
2020-04-22,Michigan,33966,2813,3237,27916,43.3266,-84.5361,,0.0
2020-04-12,Rhode Island,2665,63,35,2567,41.6809,-71.5118,,0.0
2020-04-22,Minnesota,2722,179,1317,1226,45.6945,-93.9002,,0.0
2020-04-13,Rhode Island,2665,63,135,2467,41.6809,-71.5118,,0.0
2020-04-22,Mississippi,4894,193,0,4701,32.7416,-89.6787,,0.0
2020-04-22,Missouri,6277,238,0,6039,38.4561,-92.2884,,0.0
2020-04-22,Montana,439,14,296,129,46.9219,-110.4544,,0.0
2020-04-12,South Dakota,730,6,197,527,44.2998,-99.4388,,0.0
2020-04-22,Nebraska,1813,38,0,1775,41.1254,-98.2681,,0.0
2020-04-13,South Dakota,868,6,207,655,44.2998,-99.4388,,0.0
2020-04-22,Nevada,4081,172,0,3909,38.3135,-117.0554,,0.0
2020-04-12,Tennessee,5508,106,1504,3898,35.7478,-86.6923,,0.0
2020-04-22,New Hampshire,1588,48,546,994,43.4525,-71.5639,,0.0
2020-04-13,Tennessee,5610,109,1671,3830,35.7478,-86.6923,,0.0
2020-04-22,New Jersey,95914,5150,0,90764,40.2989,-74.521,,0.0
2020-04-12,Texas,13677,283,2014,11380,31.0545,-97.5635,,0.0
2020-04-22,New Mexico,2210,71,529,1610,34.8405,-106.2485,,0.0
2020-04-13,Texas,14275,305,2269,11701,31.0545,-97.5635,,0.0
2020-04-22,New York,263292,19413,23887,219992,42.1657,-74.9481,,0.0
2020-04-22,North Carolina,7495,265,0,7230,35.6301,-79.8064,,0.0
2020-04-22,North Dakota,679,14,229,436,47.5289,-99.78399999999999,,0.0
2020-04-12,Vermont,727,27,15,685,44.0459,-72.7107,,0.0
2020-04-22,Northern Mariana Islands,14,2,11,1,15.0979,145.6739,,0.0
2020-04-13,Vermont,748,28,15,705,44.0459,-72.7107,,0.0
2020-04-22,Ohio,14117,610,0,13507,40.3888,-82.7649,,0.0
2020-04-22,Oklahoma,2894,170,1772,952,35.5653,-96.9289,,0.0
2020-04-22,Oregon,2059,78,0,1981,44.571999999999996,-122.0709,,0.0
2020-04-22,Pennsylvania,36082,1673,0,34409,40.5908,-77.2098,,0.0
2020-04-22,Puerto Rico,1252,63,0,1189,18.2208,-66.5901,,0.0
2020-04-12,West Virginia,593,6,83,504,38.4912,-80.9545,,0.0
2020-04-22,Rhode Island,5841,181,315,5345,41.6809,-71.5118,,0.0
2020-04-13,West Virginia,611,8,85,518,38.4912,-80.9545,,0.0
2020-04-22,South Carolina,4761,140,3317,1304,33.8569,-80.945,,0.0
2020-04-22,South Dakota,1858,9,937,912,44.2998,-99.4388,,0.0
2020-04-22,Tennessee,7394,157,4012,3225,35.7478,-86.6923,,0.0
2020-04-12,Wyoming,270,0,137,133,42.756,-107.3025,,0.0
2020-04-22,Texas,21321,556,7341,13424,31.0545,-97.5635,,0.0
2020-04-13,Wyoming,275,1,138,136,42.756,-107.3025,,0.0
2020-04-22,Utah,3445,32,970,2443,40.15,-111.8624,,0.0
2020-04-22,Vermont,823,40,1710,-927,44.0459,-72.7107,,0.0
